file,label
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123516PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123517PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
right\20230827_123518PM.png,1
right\20230827_123518PM.png,1
right\20230827_123518PM.png,1
right\20230827_123518PM.png,1
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
right\20230827_123518PM.png,1
right\20230827_123518PM.png,1
right\20230827_123518PM.png,1
right\20230827_123518PM.png,1
forward\20230827_123518PM.png,0
forward\20230827_123518PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
right\20230827_123519PM.png,1
right\20230827_123519PM.png,1
right\20230827_123519PM.png,1
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
forward\20230827_123519PM.png,0
right\20230827_123520PM.png,1
right\20230827_123520PM.png,1
